Rnodes,Rbest,Rworst,Bnodes,Bbest,Bworst,Enodes,Ebest,Eworst
,,,792,427,431,,,
,,,793,428,432,,,
,,,794,427,433,,,
,,,795,428,434,,,
,,,796,429,435,,,
,,,797,426,436,,,
,,,798,427,436,,,
,,,799,428,437,,,
,,,800,429,439,,,
,,,801,432,440,,,
,,,802,429,441,,,
,,,803,430,442,,,
,,,804,431,442,,,
,,,805,432,443,,,
,,,806,435,444,,,
,,,807,436,445,,,
,,,808,435,446,,,
,,,809,436,447,,,
,,,810,437,446,,,
,,,811,438,447,,,
,,,812,439,450,,,
,,,813,440,451,,,
,,,814,440,452,,,
,,,815,441,453,,,
,,,816,442,450,,,
,,,817,443,453,,,
,,,818,445,454,,,
,,,819,446,455,,,
,,,820,446,456,,,
,,,821,447,453,,,
,,,822,448,454,,,
,,,823,449,455,,,
,,,824,450,454,,,
,,,825,451,455,,,
,,,826,452,458,,,
,,,827,453,459,,,
,,,828,456,460,,,
,,,829,457,461,,,
,,,830,456,462,,,
,,,831,457,463,,,
,,,832,458,464,,,
,,,833,455,465,,,
,,,834,456,464,,,
,,,835,457,465,,,
,,,836,458,468,,,
,,,837,461,469,,,
,,,838,458,470,,,
,,,839,459,471,,,
,,,840,460,468,,,
,,,841,461,471,,,
,,,842,464,472,,,
,,,843,465,473,,,
,,,844,464,474,,,
,,,845,465,469,,,
,,,846,466,470,,,
,,,847,467,471,,,
,,,848,468,472,,,
,,,849,469,473,,,
,,,850,470,472,,,
,,,851,471,473,,,
,,,852,474,476,,,
,,,853,475,477,,,
,,,854,474,478,,,
,,,855,475,479,,,
,,,856,476,476,,,
,,,857,477,479,,,
,,,858,480,480,,,
,,,859,481,481,,,
,,,860,482,482,,,
,,,891,495,495,,,
,,,892,496,496,,,
,,,893,497,497,,,
,,,894,498,500,,,
,,,895,501,501,,,
,,,896,498,502,,,
,,,897,499,503,,,
,,,898,500,502,,,
,,,899,501,503,,,
,,,900,504,506,,,
,,,901,505,507,,,
,,,902,504,508,,,
,,,903,505,509,,,
,,,904,506,510,,,
,,,905,507,511,,,
,,,906,508,512,,,
,,,907,503,513,,,
,,,908,504,512,,,
,,,909,505,513,,,
,,,910,506,516,,,
,,,911,509,517,,,
,,,912,506,518,,,
,,,913,507,519,,,
,,,914,508,516,,,
,,,915,509,519,,,
,,,916,512,520,,,
,,,917,513,521,,,
,,,918,512,522,,,
,,,919,513,519,,,
,,,920,514,520,,,
,,,921,515,521,,,
,,,922,516,520,,,
,,,923,517,521,,,
,,,924,518,524,,,
,,,925,519,525,,,
,,,926,522,526,,,
,,,927,523,527,,,
,,,928,522,528,,,
,,,929,523,529,,,
,,,930,524,530,,,
,,,931,521,531,,,
,,,932,522,531,,,
,,,933,523,532,,,
,,,934,524,534,,,
,,,935,527,535,,,
,,,936,524,536,,,
,,,937,525,537,,,
,,,938,526,537,,,
,,,939,527,538,,,
,,,940,530,539,,,
,,,941,531,540,,,
,,,942,530,541,,,
,,,943,531,542,,,
,,,944,532,541,,,
,,,945,533,542,,,
,,,946,534,545,,,
,,,947,535,546,,,
,,,948,535,547,,,
,,,949,536,548,,,
,,,950,537,545,,,
,,,951,538,548,,,
,,,952,540,549,,,
,,,953,541,550,,,
,,,954,541,551,,,
,,,955,542,548,,,
,,,956,543,549,,,
,,,957,544,550,,,
,,,958,545,549,,,
,,,959,546,550,,,
,,,960,547,553,,,
,,,961,548,554,,,
,,,962,551,555,,,
,,,963,552,556,,,
,,,964,551,557,,,
,,,965,552,558,,,
,,,966,553,559,,,
,,,967,550,560,,,
,,,968,551,559,,,
,,,969,552,560,,,
,,,970,553,563,,,
,,,971,556,564,,,
,,,972,553,565,,,
,,,973,554,566,,,
,,,974,555,563,,,
,,,975,556,566,,,
,,,976,559,567,,,
,,,977,560,568,,,
,,,978,559,569,,,
,,,979,560,564,,,
,,,980,561,565,,,
,,,981,562,566,,,
,,,982,563,567,,,
,,,983,564,568,,,
,,,984,565,567,,,
,,,985,566,568,,,
,,,986,569,571,,,
,,,987,570,572,,,
,,,988,569,573,,,
,,,989,570,574,,,
,,,990,571,571,,,
,,,991,572,574,,,
,,,992,575,575,,,
,,,993,576,576,,,
